country,maternity_lengths_in_weeks,paternity_lengths_in_weeks
United States,0,0
Australia,6,2
Portugal,6,5
Iceland,13,0
Mexico,12,1
Norway,13,0
Korea,12.9,0.6
Germany,14,0
Israel,14,0
Japan,14,0
Switzerland,14,0
Sweden,12.9,1.4
Austria,16,0
Luxembourg,16,0.4
Netherlands,16,0.4
Belgium,15,2
Canada,17,0
Turkey,16,1
Latvia,16,1.4
Slovenia,15,2.9
Finland,16,2
France,16,2
New Zealand,18,0
Spain,16,2.1
OECD average,17.7,1
Chile,18,1
Denmark,18,2
EU average,17,3
Estonia,20,2
Poland,20,2
Italy,21.7,0.4
Hungary,24,1
Ireland,26,0
Czech Republic,28,0
Slovak Republic,34,0
United Kingdom,39,2
Greece,43,0.4